DATE,TXS,FEE_PAYERS,DEX
2023-07-08T00:00:00.000Z,150,6,Aldrin
2023-07-08T00:00:00.000Z,308,1,GooseFX
2023-07-08T00:00:00.000Z,3,3,Mercurial
2023-07-08T00:00:00.000Z,2986151,6515,Jupiter Aggregator
2023-07-08T00:00:00.000Z,6742,4498,Stepn
2023-07-08T00:00:00.000Z,115,7,Saber
2023-07-08T00:00:00.000Z,89,24,Serum
2023-07-08T00:00:00.000Z,325968,94,Openbook
2023-07-08T00:00:00.000Z,17,3,Step Finance
2023-07-08T00:00:00.000Z,61719,1001,Orca
2023-06-08T00:00:00.000Z,221,1,GooseFX
2023-06-08T00:00:00.000Z,70414,1346,Raydium
2023-06-08T00:00:00.000Z,575655,107,Openbook
2023-06-08T00:00:00.000Z,2,1,Mercurial
2023-06-08T00:00:00.000Z,1151,5,Lifinity
2023-06-08T00:00:00.000Z,862,13,Aldrin
2023-06-08T00:00:00.000Z,51,3,Step Finance
2023-06-08T00:00:00.000Z,6526,4561,Stepn
2023-06-08T00:00:00.000Z,130,55,Serum
2023-06-08T00:00:00.000Z,133,3,Saber
2023-06-08T00:00:00.000Z,3,1,Invariant
2023-06-08T00:00:00.000Z,66616,1137,Orca
2023-06-08T00:00:00.000Z,1600379,6739,Jupiter Aggregator
2023-06-10T00:00:00.000Z,8,5,Mercurial
2023-06-10T00:00:00.000Z,1,1,Invariant
2023-06-10T00:00:00.000Z,248,4,Step Finance
2023-06-10T00:00:00.000Z,440722,119,Openbook
2023-06-10T00:00:00.000Z,214,1,GooseFX
2023-06-10T00:00:00.000Z,5564842,9253,Jupiter Aggregator
2023-06-10T00:00:00.000Z,9711,6377,Stepn
2023-06-10T00:00:00.000Z,1912,10,Saber
2023-06-10T00:00:00.000Z,225538,1389,Orca
2023-06-10T00:00:00.000Z,8391,7,Lifinity
2023-06-10T00:00:00.000Z,2596,9,Aldrin
2023-06-10T00:00:00.000Z,91,24,Serum
2023-06-10T00:00:00.000Z,73132,1845,Raydium
2022-11-24,14284,9541,Stepn
2022-11-24,310818,7117,Jupiter Aggregator
2022-11-24,612,19,Saber
2022-11-24,9354,829,Orca
2022-11-24,62,3,Step Finance
2022-11-24,25337,1143,Raydium
2022-11-24,3756,246,Serum
2022-11-24,862,6,Lifinity
2022-11-24,630889,61,Openbook
2022-11-24,4137,65,Aldrin
2022-11-24,6,2,Cykura
2022-11-24,51,35,Mercurial
2022-11-24,85035,1,GooseFX
2022-11-24,19,3,Invariant
2022-10-17,63011,7741,Jupiter Aggregator
2022-10-17,41819,1671,Raydium
2022-10-17,417,7,Lifinity
2022-10-17,84504,4,GooseFX
2022-10-17,70,3,Invariant
2022-10-17,2,2,Crema
2022-10-17,37,2,Mango Markets
2022-10-17,27575,16436,Stepn
2022-10-17,1,1,Cykura
2022-10-17,64,7,Step Finance
2022-10-17,7157,965,Orca
2022-10-17,52,34,Mercurial
2022-10-17,2759264,576,Serum
2022-10-17,74,28,Saber
2022-10-17,4052,70,Aldrin
2023-09-22T00:00:00.000Z,2922,3,Invariant
2023-09-22T00:00:00.000Z,171782,2191,Orca
2023-09-22T00:00:00.000Z,385664,5513,Jupiter Aggregator
2023-09-22T00:00:00.000Z,22,3,Step Finance
2023-09-22T00:00:00.000Z,1599,4,Lifinity
