BLOCKCHAIN,CREATOR,ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,LABEL,ADDRESS_NAME
solana,flipside,E8rzJBbUCbice9Q4BcX3LzzixtkJD11GTnDcqPS7WqaA,dex,general_contract,mango markets,mango markets perpetual order book
solana,flipside,EzSXQ2BXf8m4y4jcQQGeZ6nnwXB3ARXP3YQ5SwjKLj82,dex,vault,saber,tulip saber vaults
solana,flipside,FcfzrnurPFXwxbx332wScnD5P86DwhpLpBbQsnr6LcH5,defi,pool,friktion,entropy
solana,flipside,FoNqK2xudK7TfKjPFxpzAcTaU2Wwyt81znT4RjJBLFQp,dex,vault,orca,tulip orca vaults
solana,flipside,4FuHh13dadkVJQeDFdtQg8vMKRPxVZJLU7dEXy61Y5Bn,dex,general_contract,mango markets,mango markets perpetual order book
solana,flipside,4R3gSG8BpU4t19KYj8CfnbtRpnT8gtk4dvTHxVRwc2r7,dapp,rewards,jito mev,tip distribution program
solana,flipside,GDDMwNyyx8uB6zrqwBFHjLLG3TBYk2F8Az4yrQC5RzMp,chadmin,general_contract,solana,sequence enforcer
solana,flipside,Jitos9sv798B1WYxHXmwJn6w1VMErUXGWZEKRJ9HoMA,dapp,general_contract,jito mev,mev address
solana,flipside,ComputeBudget111111111111111111111111111111,chadmin,general_contract,solana,compute budget program
solana,flipside,7vxeyaXGLqcp66fFShqUdHxdacp4k4kwUpRSSeoZLCZ4,dex,vault,raydium,tulip raydium v1 vaults
solana,flipside,cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,dapp,general_contract,chainlink,chainlink data feed
solana,flipside,iNeq88RkcvbwfnWAsqw5rQvJTbuKEA15PaMe7YAcTx3,defi,pool,friktion,inertia
solana,flipside,JPGov2SBA6f7XSJF5R4Si5jEJekGiyrwP2m7gSEqLUs,dapp,governance,realms,jet dao
solana,flipside,JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo,dex,aggregator_contract,jupiter,jupiter aggregator v2
solana,flipside,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,dex,aggregator_contract,jupiter,jupiter aggregator v3
solana,flipside,JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,dex,aggregator_contract,jupiter,jupiter swap v4
solana,flipside,JUP6i4ozu5ydDCnLiMogSckDPpbtr7BJ4FtzYWkb5Rk,dex,aggregator_contract,jupiter,jupiter aggregator v1
solana,flipside,KJ6b6PswEZeNSwEh1po51wxnbX1C3FPhQPhg8eD2Y6E,defi,general_contract,defiland,defiland staking program
solana,flipside,KeccakSecp256k11111111111111111111111111111,chadmin,general_contract,solana,new_secp256k1_instruction
solana,flipside,Config1111111111111111111111111111111111111,chadmin,general_contract,solana,config_instruction
solana,flipside,CrX7kMhLC3cSsXJdT7JDgqrRVWGnUpX3gfEfxxU2NVLi,defi,general_contract,lido,lido for solana
solana,flipside,Crt7UoUR6QgrFrN7j8rmSQpUTNWNSitSwWvsWGf1qZ5t,dex,swap_router,saber,Saber Router
solana,flipside,7Zb1bGi32pfsrBkzWdqd4dFhUXwp5Nybr1zuaEwN34hy,defi,general_contract,larix,larix program
