FriendlyName,Abbreviation,Category,VoteKey,Network,Tags,LogoURI,Flag,ADDRESS
Raydium Liquidity Pool Program v1,,programs,,mainnet,[],https://s2.coinmarketcap.com/static/img/coins/64x64/8526.png,,RVKd61ztZW9GUwhRbbLoYVRE5Xf1B2tVscKqwZqXgEr
Scallop's Program ID,Scallop's Program ID,programs,,mainnet,[],,,SCPv1LabixHirZbX6s7Zj3oiBogadWZvGUKRvXD3Zec
Sharky Finance Program,Sharky Finance Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1544766029703925761/DAp5WCgV_400x400.jpg,,SHARKobtfF1bHhxD2eqftjHBdVSCbKo9JtgK71FhELP
Stake Pool Program,,programs,,"devnet,testnet,mainnet",[],,,SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy
Squads,Squads,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1559576624655384576/nsPAP5Vx_400x400.jpg,,SQUADSxWKud1RVxuhJzNcqYqu7F3GLNiktGzjnNtriT
Step Finance Swap Program,,programs,,mainnet,[],,,SSwpMgqNDsyV7mAgN9ady4bDVu5ySjmmXejXvy2vLt1
Saber Stable Swap Program,,programs,,"devnet,mainnet",[],,,SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ
SwitchBoard V2 Program,SwitchBoard,programs,,mainnet,[],https://miro.medium.com/max/2400/1*F4DeqUObWEKQbU8eB5T0CQ.png,,SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f
Swim Swap Program,https://pbs.twimg.com/profile_images/1539329241615065088/-p3lqMF5_400x400.jpg,programs,,mainnet,[],,,SWiMDJYFUGj6cPrQ6QYYYWZtvXQdRChSVAygDZDsCHC
Solend Program,,programs,,mainnet,[],https://miro.medium.com/fit/c/176/176/1*6diP-K7zgEMigbOxJBLqQQ.png,,So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo
Soda Lending Program,Soda Lending Program,programs,,mainnet,"['Defi', 'Lending']",https://pbs.twimg.com/profile_images/1509528413551292425/v9eHM5Yd_400x400.png,,Soda111Jv27so2PRBd6ofRptC6dKxosdN5ByFhCcR3V
Soda Proxy Program,Soda Proxy Program,programs,,mainnet,"['Defi', 'Lending']",https://pbs.twimg.com/profile_images/1509528413551292425/v9eHM5Yd_400x400.png,,Soda2BBinmZtnWPM9UBBaHo7zcgcuxUfSD6ksxdbbGg
Stake Program,,programs,,"custom,devnet,testnet,mainnet",[],,,Stake11111111111111111111111111111111111111
Swap Program,,programs,,"devnet,testnet,mainnet",[],,,SwaPpA9LAaLfeLi3a68M4DjnLqgtticKg6CnyNwgAC8
PsyFinance V1 Program,PsyFinance V1,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1561846839053254660/AQ89o2jF_400x400.jpg,,TAPfz9p6pRpeWPqBvZVB58sRqcvX4j6SteZNmyKgV2s
Amulet's PcuvAssetsProgram,Amulet's PcuvAssetsProgram,programs,,mainnet,[],https://avatars.githubusercontent.com/u/93768966?s=280&v=4,,TEMCkeHgxK5EJfmJsSXtwWALXKi3UTitSwGREDXdGoy
Tulip Protocol V2 Vaults,Tulip Protocol V2 Vaults,programs,,mainnet,"['Defi', 'Vaults']",https://s2.coinmarketcap.com/static/img/coins/200x200/10373.png,,TLPv2tuSVvn3fSk8RgW3yPddkp5oFivzZV3rA9hQxtX
